CountryName,CategoryName,CategoryTotal
Afghanistan,Child_labour_total,10
Afghanistan,Child_labour_male,11
Afghanistan,Child_labour_female,10
Afghanistan,Children married by 15,15
Afghanistan,Children married by 18,40
Afghanistan,Birth registration total,37
Afghanistan,Justify wife beating female,90
Afghanistan,Violent discipline total,74
Afghanistan,Violent discipline male,75
Afghanistan,Violent discipline female,74
Albania,Child_labour_total,12
Albania,Child_labour_male,14
Albania,Child_labour_female,9
Albania,Children married by 18,10
Albania,Birth registration total,99
Albania,Justify wife beating male,36
Albania,Justify wife beating female,30
Albania,Violent discipline total,75
Albania,Violent discipline male,78
Albania,Violent discipline female,71
Algeria,Child_labour_total,5 
Algeria,Child_labour_male,6 
Algeria,Child_labour_female,4 
Algeria,Children married by 18,2
Algeria,Birth registration total,99
Algeria,Justify wife beating female,68
Algeria,Violent discipline total,88
Algeria,Violent discipline male,89
Algeria,Violent discipline female,87
Andorra,Birth registration total,100 
Angola,Child_labour_total,24 
Angola,Child_labour_male,22 
Angola,Child_labour_female,25 
Angola,Birth registration total,36 
Argentina,Child_labour_total,7 
Argentina,Child_labour_male,8 
Argentina,Child_labour_female,5 
Argentina,Birth registration total,99 
Armenia,Child_labour_total,4
Armenia,Child_labour_male,5
Armenia,Child_labour_female,3
Armenia,Children married by 18,7
Armenia,Birth registration total,100
Armenia,Justify wife beating male,20
Armenia,Justify wife beating female,9
Armenia,Violent discipline total,70
Armenia,Violent discipline male,72
Armenia,Violent discipline female,67
Australia,Birth registration total,100 
Austria,Birth registration total,100 
Azerbaijan,Child_labour_total,7 
Azerbaijan,Child_labour_male,8 
Azerbaijan,Child_labour_female,5 
Azerbaijan,Children married by 15,1
Azerbaijan,Children married by 18,12
Azerbaijan,Birth registration total,94
Azerbaijan,Justify wife beating male,58
Azerbaijan,Justify wife beating female,49
Azerbaijan,Violent discipline total,75
Azerbaijan,Violent discipline male,79
Azerbaijan,Violent discipline female,71
Bahrain,Child_labour_total,5 
Bahrain,Child_labour_male,6 
Bahrain,Child_labour_female,3 
Bangladesh,Child_labour_total,13
Bangladesh,Child_labour_male,18
Bangladesh,Child_labour_female,8
Bangladesh,Children married by 15,29
Bangladesh,Children married by 18,65
Bangladesh,Birth registration total,31
Bangladesh,Justify wife beating female,33 
Belarus,Child_labour_total,1
Belarus,Child_labour_male,1
Belarus,Child_labour_female,2
Belarus,Children married by 18,3
Belarus,Birth registration total,100 
Belarus,Justify wife beating male,4
Belarus,Justify wife beating female,4
Belarus,Violent discipline total,65 
Belarus,Violent discipline male,67 
Belarus,Violent discipline female,62 
Belgium,Birth registration total,100 
Belize,Child_labour_total,6
Belize,Child_labour_male,7
Belize,Child_labour_female,5
Belize,Children married by 15,3
Belize,Children married by 18,26
Belize,Birth registration total,95
Belize,Justify wife beating female,9
Belize,Violent discipline total,71
Belize,Violent discipline male,71
Belize,Violent discipline female,70
Benin,Child_labour_total,46
Benin,Child_labour_male,47
Benin,Child_labour_female,45
Benin,Children married by 15,8
Benin,Children married by 18,34
Benin,Birth registration total,80
Benin,FGM prevelance in women,13
Benin,FGM prevalance in girls,2 
Benin,FGM prevelance in support groups,1
Benin,Justify wife beating male,14
Benin,Justify wife beating female,47
Bhutan,Child_labour_total,3
Bhutan,Child_labour_male,3
Bhutan,Child_labour_female,3
Bhutan,Children married by 15,6
Bhutan,Children married by 18,26
Bhutan,Birth registration total,100
Bhutan,Justify wife beating female,68
Bolivia (Plurinational State of),Child_labour_total,26 
Bolivia (Plurinational State of),Child_labour_male,28 
Bolivia (Plurinational State of),Child_labour_female,24 
Bolivia (Plurinational State of),Children married by 15,3
Bolivia (Plurinational State of),Children married by 18,22
Bolivia (Plurinational State of),Birth registration total,76 
Bolivia (Plurinational State of),Justify wife beating female,16
Bosnia and Herzegovina,Child_labour_total,5
Bosnia and Herzegovina,Child_labour_male,7
Bosnia and Herzegovina,Child_labour_female,4
Bosnia and Herzegovina,Children married by 18,4
Bosnia and Herzegovina,Birth registration total,100
Bosnia and Herzegovina,Justify wife beating male,6
Bosnia and Herzegovina,Justify wife beating female,5
Bosnia and Herzegovina,Violent discipline total,55
Bosnia and Herzegovina,Violent discipline male,60
Bosnia and Herzegovina,Violent discipline female,50
Botswana,Child_labour_total,9 
Botswana,Child_labour_male,11 
Botswana,Child_labour_female,7 
Botswana,Birth registration total,72
Brazil,Child_labour_total,9 
Brazil,Child_labour_male,11 
Brazil,Child_labour_female,6 
Brazil,Children married by 15,11
Brazil,Children married by 18,36
Brazil,Birth registration total,93 
Bulgaria,Birth registration total,100 
Burkina Faso,Child_labour_total,39
Burkina Faso,Child_labour_male,42
Burkina Faso,Child_labour_female,36
Burkina Faso,Children married by 15,10
Burkina Faso,Children married by 18,52
Burkina Faso,Birth registration total,77
Burkina Faso,FGM prevelance in women,76
Burkina Faso,FGM prevalance in girls,13
Burkina Faso,FGM prevelance in support groups,9
Burkina Faso,Justify wife beating male,34
Burkina Faso,Justify wife beating female,44
Burkina Faso,Violent discipline total,83
Burkina Faso,Violent discipline male,84
Burkina Faso,Violent discipline female,82
Burundi,Child_labour_total,26
Burundi,Child_labour_male,26
Burundi,Child_labour_female,27
Burundi,Children married by 15,3
Burundi,Children married by 18,20
Burundi,Birth registration total,75
Burundi,Justify wife beating male,44
Burundi,Justify wife beating female,73
Cabo Verde,Child_labour_total,"3 ,"
Cabo Verde,Child_labour_male,"4 ,"
Cabo Verde,Child_labour_female,"3 ,"
Cabo Verde,Children married by 15,3
Cabo Verde,Children married by 18,18
Cabo Verde,Birth registration total,91
Cabo Verde,Justify wife beating male,16 
Cabo Verde,Justify wife beating female,17
Cambodia,Child_labour_total,36 
Cambodia,Child_labour_male,36 
Cambodia,Child_labour_female,36 
Cambodia,Children married by 15,2
Cambodia,Children married by 18,18
Cambodia,Birth registration total,62
Cambodia,Justify wife beating male,22 
Cambodia,Justify wife beating female,46 
Cameroon,Child_labour_total,42
Cameroon,Child_labour_male,43
Cameroon,Child_labour_female,40
Cameroon,Children married by 15,13
Cameroon,Children married by 18,38
Cameroon,Birth registration total,61
Cameroon,FGM prevelance in women,1
Cameroon,FGM prevalance in girls,1 
Cameroon,FGM prevelance in support groups,7
Cameroon,Justify wife beating male,39
Cameroon,Justify wife beating female,47
Cameroon,Violent discipline total,93
Cameroon,Violent discipline male,93
Cameroon,Violent discipline female,93
Canada,Birth registration total,100 
Central African Republic,Child_labour_total,29
Central African Republic,Child_labour_male,27
Central African Republic,Child_labour_female,30
Central African Republic,Children married by 15,29
Central African Republic,Children married by 18,68
Central African Republic,Birth registration total,61
Central African Republic,FGM prevelance in women,24
Central African Republic,FGM prevalance in girls,1
Central African Republic,FGM prevelance in support groups,11
Central African Republic,Justify wife beating male,80 
Central African Republic,Justify wife beating female,80
Central African Republic,Violent discipline total,92
Central African Republic,Violent discipline male,92
Central African Republic,Violent discipline female,92
Chad,Child_labour_total,26
Chad,Child_labour_male,25
Chad,Child_labour_female,28
Chad,Children married by 15,29
Chad,Children married by 18,68
Chad,Birth registration total,16
Chad,FGM prevelance in women,44
Chad,FGM prevalance in girls,18 
Chad,FGM prevelance in support groups,38
Chad,Justify wife beating female,62
Chad,Violent discipline total,84
Chad,Violent discipline male,85
Chad,Violent discipline female,84
Chile,Child_labour_total,3 
Chile,Child_labour_male,3 
Chile,Child_labour_female,2 
Chile,Birth registration total,100 
Colombia,Child_labour_total,13 
Colombia,Child_labour_male,17 
Colombia,Child_labour_female,9 
Colombia,Children married by 15,6
Colombia,Children married by 18,23
Colombia,Birth registration total,97
Comoros,Child_labour_total,27 
Comoros,Child_labour_male,26 
Comoros,Child_labour_female,28 
Comoros,Birth registration total,88 
Congo,Child_labour_total,25
Congo,Child_labour_male,24
Congo,Child_labour_female,25
Congo,Children married by 15,7
Congo,Children married by 18,33
Congo,Birth registration total,91
Congo,Justify wife beating female,76
Costa Rica,Child_labour_total,5 
Costa Rica,Child_labour_male,6 
Costa Rica,Child_labour_female,3 
Côte d’Ivoire,Child_labour_total,26
Côte d’Ivoire,Child_labour_male,25
Côte d’Ivoire,Child_labour_female,28
Côte d’Ivoire,Children married by 15,10
Côte d’Ivoire,Children married by 18,33
Côte d’Ivoire,Birth registration total,65
Côte d’Ivoire,FGM prevelance in women,38
Côte d’Ivoire,FGM prevalance in girls,10
Côte d’Ivoire,FGM prevelance in support groups,14
Côte d’Ivoire,Justify wife beating male,42
Côte d’Ivoire,Justify wife beating female,48
Côte d’Ivoire,Violent discipline total,91
Côte d’Ivoire,Violent discipline male,91
Côte d’Ivoire,Violent discipline female,91
Cuba,Children married by 15,9
Cuba,Children married by 18,40
Cuba,Birth registration total,100 
Cyprus,Birth registration total,100 
Czech Republic,Birth registration total,100 
Democratic People’s Republic of Korea,Birth registration total,100
Democratic Republic of the Congo,Child_labour_total,15
Democratic Republic of the Congo,Child_labour_male,13
Democratic Republic of the Congo,Child_labour_female,17
Democratic Republic of the Congo,Children married by 15,9
Democratic Republic of the Congo,Children married by 18,39
Democratic Republic of the Congo,Birth registration total,28
Democratic Republic of the Congo,Justify wife beating female,76
Democratic Republic of the Congo,Violent discipline total,92
Democratic Republic of the Congo,Violent discipline male,92
Democratic Republic of the Congo,Violent discipline female,91
Denmark,Birth registration total,100 
Djibouti,Child_labour_total,8
Djibouti,Child_labour_male,8
Djibouti,Child_labour_female,8
Djibouti,Children married by 15,2
Djibouti,Children married by 18,5
Djibouti,Birth registration total,92
Djibouti,FGM prevelance in women,93
Djibouti,FGM prevalance in girls,49 
Djibouti,FGM prevelance in support groups,37
Djibouti,Violent discipline total,72
Djibouti,Violent discipline male,73
Djibouti,Violent discipline female,71
Dominican Republic,Child_labour_total,13
Dominican Republic,Child_labour_male,18
Dominican Republic,Child_labour_female,8
Dominican Republic,Children married by 15,12
Dominican Republic,Children married by 18,41
Dominican Republic,Birth registration total,82
Dominican Republic,Justify wife beating female,4
Dominican Republic,Violent discipline total,67
Dominican Republic,Violent discipline male,69
Dominican Republic,Violent discipline female,65
Ecuador,Child_labour_total,8
Ecuador,Child_labour_male,7
Ecuador,Child_labour_female,8
Ecuador,Children married by 15,4 
Ecuador,Children married by 18,22 
Ecuador,Birth registration total,90
Egypt,Child_labour_total,9 
Egypt,Child_labour_male,14 
Egypt,Child_labour_female,4 
Egypt,Children married by 15,2
Egypt,Children married by 18,17
Egypt,Birth registration total,99 
Egypt,FGM prevelance in women,91
Egypt,FGM prevalance in girls,17
Egypt,FGM prevelance in support groups,54
Egypt,Justify wife beating female,39 
Egypt,Violent discipline total,91
Egypt,Violent discipline male,92
Egypt,Violent discipline female,90
El Salvador,Child_labour_total,10 
El Salvador,Children married by 15,5
El Salvador,Children married by 18,25
El Salvador,Birth registration total,99
Equatorial Guinea,Child_labour_total,28 
Equatorial Guinea,Child_labour_male,28 
Equatorial Guinea,Child_labour_female,28 
Equatorial Guinea,Birth registration total,37 
Eritrea,Children married by 15,20 
Eritrea,Children married by 18,47 
Eritrea,FGM prevelance in women,89
Eritrea,FGM prevalance in girls,63 
Eritrea,FGM prevelance in support groups,49
Eritrea,Justify wife beating female,71 
Estonia,Birth registration total,100 
Ethiopia,Child_labour_total,27
Ethiopia,Child_labour_male,31
Ethiopia,Child_labour_female,24
Ethiopia,Children married by 15,16
Ethiopia,Children married by 18,41
Ethiopia,Birth registration total,7
Ethiopia,FGM prevelance in women,74
Ethiopia,FGM prevalance in girls,24
Ethiopia,FGM prevelance in support groups,31
Ethiopia,Justify wife beating male,45
Ethiopia,Justify wife beating female,68
Fiji,Violent discipline total,72 
Finland,Birth registration total,100 
France,Birth registration total,100 
Gabon,Child_labour_total,13
Gabon,Child_labour_male,15
Gabon,Child_labour_female,12
Gabon,Children married by 15,6
Gabon,Children married by 18,22
Gabon,Birth registration total,90
Gabon,Justify wife beating male,40
Gabon,Justify wife beating female,50
Gambia,Child_labour_total,19
Gambia,Child_labour_male,21
Gambia,Child_labour_female,18
Gambia,Children married by 15,7
Gambia,Children married by 18,36
Gambia,Birth registration total,53
Gambia,FGM prevelance in women,76
Gambia,FGM prevalance in girls,56
Gambia,FGM prevelance in support groups,64
Gambia,Justify wife beating female,75
Gambia,Violent discipline total,90
Gambia,Violent discipline male,90
Gambia,Violent discipline female,91
Georgia,Child_labour_total,18
Georgia,Child_labour_male,20
Georgia,Child_labour_female,17
Georgia,Children married by 15,1
Georgia,Children married by 18,14
Georgia,Birth registration total,99
Georgia,Justify wife beating female,7
Georgia,Violent discipline total,67
Georgia,Violent discipline male,70
Georgia,Violent discipline female,63
Germany,Birth registration total,100 
Ghana,Child_labour_total,34
Ghana,Child_labour_male,34
Ghana,Child_labour_female,34
Ghana,Children married by 15,5
Ghana,Children married by 18,21
Ghana,Birth registration total,63
Ghana,FGM prevelance in women,4
Ghana,FGM prevalance in girls,1
Ghana,FGM prevelance in support groups,2
Ghana,Justify wife beating male,26 
Ghana,Justify wife beating female,44
Ghana,Violent discipline total,94
Ghana,Violent discipline male,94
Ghana,Violent discipline female,94
Greece,Birth registration total,100 
Guatemala,Child_labour_total,26 
Guatemala,Child_labour_male,35 
Guatemala,Child_labour_female,16 
Guatemala,Children married by 15,7
Guatemala,Children married by 18,30
Guatemala,Birth registration total,97
Guinea,Child_labour_total,40 
Guinea,Child_labour_male,40 
Guinea,Child_labour_female,40 
Guinea,Children married by 15,20
Guinea,Children married by 18,63
Guinea,Birth registration total,43
Guinea,FGM prevelance in women,96
Guinea,FGM prevalance in girls,57 
Guinea,FGM prevelance in support groups,69
Guinea,Justify wife beating female,86
Guinea-Bissau,Child_labour_total,38
Guinea-Bissau,Child_labour_male,40
Guinea-Bissau,Child_labour_female,36
Guinea-Bissau,Children married by 15,7
Guinea-Bissau,Children married by 18,22
Guinea-Bissau,Birth registration total,24
Guinea-Bissau,FGM prevelance in women,50
Guinea-Bissau,FGM prevalance in girls,39 
Guinea-Bissau,FGM prevelance in support groups,34
Guinea-Bissau,Justify wife beating female,40 
Guinea-Bissau,Violent discipline total,82
Guinea-Bissau,Violent discipline male,82
Guinea-Bissau,Violent discipline female,81
Guyana,Child_labour_total,16
Guyana,Child_labour_male,17
Guyana,Child_labour_female,16
Guyana,Children married by 15,6
Guyana,Children married by 18,23
Guyana,Birth registration total,88
Guyana,Justify wife beating male,19
Guyana,Justify wife beating female,16
Guyana,Violent discipline total,76
Guyana,Violent discipline male,79
Guyana,Violent discipline female,74
Haiti,Child_labour_total,24
Haiti,Child_labour_male,25
Haiti,Child_labour_female,24
Haiti,Children married by 15,3
Haiti,Children married by 18,18
Haiti,Birth registration total,80
Haiti,Justify wife beating male,15
Haiti,Justify wife beating female,17
Haiti,Violent discipline total,86
Haiti,Violent discipline male,87
Haiti,Violent discipline female,85
Honduras,Child_labour_total,16 
Honduras,Child_labour_male,16 
Honduras,Child_labour_female,15 
Honduras,Children married by 15,8
Honduras,Children married by 18,34
Honduras,Birth registration total,94
Honduras,Justify wife beating male,10
Honduras,Justify wife beating female,12
Hungary,Birth registration total,100 
Iceland,Birth registration total,100 
India,Child_labour_total,12
India,Child_labour_male,12
India,Child_labour_female,12
India,Children married by 15,18
India,Children married by 18,47
India,Birth registration total,41
India,Justify wife beating male,51
India,Justify wife beating female,54
Indonesia,Child_labour_total,7 
Indonesia,Child_labour_male,8 
Indonesia,Child_labour_female,6 
Indonesia,Children married by 15,3
Indonesia,Children married by 18,17
Indonesia,Birth registration total,67
Indonesia,Justify wife beating male,17 
Indonesia,Justify wife beating female,35
Iran (Islamic Republic of),Child_labour_total,11 
Iran (Islamic Republic of),Child_labour_male,13 
Iran (Islamic Republic of),Child_labour_female,10 
Iran (Islamic Republic of),Children married by 15,3
Iran (Islamic Republic of),Children married by 18,17
Iran (Islamic Republic of),Birth registration total,99 
Iraq,Child_labour_total,5
Iraq,Child_labour_male,5
Iraq,Child_labour_female,4
Iraq,Children married by 15,5
Iraq,Children married by 18,24
Iraq,Birth registration total,99
Iraq,FGM prevelance in women,8
Iraq,FGM prevalance in girls,3 
Iraq,FGM prevelance in support groups,5
Iraq,Justify wife beating female,51
Iraq,Violent discipline total,79
Iraq,Violent discipline male,81
Iraq,Violent discipline female,77
Ireland,Birth registration total,100 
Israel,Birth registration total,100 
Italy,Birth registration total,100 
Jamaica,Child_labour_total,6
Jamaica,Child_labour_male,7
Jamaica,Child_labour_female,5
Jamaica,Children married by 15,1
Jamaica,Children married by 18,9
Jamaica,Birth registration total,98
Jamaica,Justify wife beating male,22 
Jamaica,Justify wife beating female,3 
Jamaica,Violent discipline total,89
Jamaica,Violent discipline male,90
Jamaica,Violent discipline female,87
Japan,Birth registration total,100 
Jordan,Child_labour_total,2 
Jordan,Child_labour_male,3 
Jordan,Child_labour_female,0 
Jordan,Children married by 15,1
Jordan,Children married by 18,10
Jordan,Birth registration total,99
Jordan,Justify wife beating female,90 
Kazakhstan,Child_labour_total,2
Kazakhstan,Child_labour_male,2
Kazakhstan,Child_labour_female,2
Kazakhstan,Children married by 18,6
Kazakhstan,Birth registration total,100
Kazakhstan,Justify wife beating male,17
Kazakhstan,Justify wife beating female,12
Kazakhstan,Violent discipline total,49
Kazakhstan,Violent discipline male,54
Kazakhstan,Violent discipline female,45
Kenya,Child_labour_total,26 
Kenya,Child_labour_male,27 
Kenya,Child_labour_female,25 
Kenya,Children married by 15,6
Kenya,Children married by 18,26
Kenya,Birth registration total,60
Kenya,FGM prevelance in women,27
Kenya,FGM prevalance in girls,8 
Kenya,FGM prevelance in support groups,10
Kenya,Justify wife beating male,44
Kenya,Justify wife beating female,53
Kiribati,Children married by 15,3
Kiribati,Children married by 18,20
Kiribati,Birth registration total,94
Kiribati,Justify wife beating male,60
Kiribati,Justify wife beating female,76
Kiribati,Violent discipline total,81 
Kyrgyzstan,Child_labour_total,4
Kyrgyzstan,Child_labour_male,4
Kyrgyzstan,Child_labour_female,3
Kyrgyzstan,Children married by 15,1
Kyrgyzstan,Children married by 18,10
Kyrgyzstan,Birth registration total,96
Kyrgyzstan,Justify wife beating female,38
Kyrgyzstan,Violent discipline total,54 
Kyrgyzstan,Violent discipline male,58 
Kyrgyzstan,Violent discipline female,49 
Lao People’s Democratic Republic,Child_labour_total,10 
Lao People’s Democratic Republic,Child_labour_male,9 
Lao People’s Democratic Republic,Child_labour_female,11 
Lao People’s Democratic Republic,Children married by 15,9
Lao People’s Democratic Republic,Children married by 18,35
Lao People’s Democratic Republic,Birth registration total,75
Lao People’s Democratic Republic,Justify wife beating male,49
Lao People’s Democratic Republic,Justify wife beating female,58
Lao People’s Democratic Republic,Violent discipline total,76
Lao People’s Democratic Republic,Violent discipline male,77
Lao People’s Democratic Republic,Violent discipline female,74
Latvia,Birth registration total,100 
Lebanon,Child_labour_total,2
Lebanon,Child_labour_male,3
Lebanon,Child_labour_female,1
Lebanon,Children married by 15,1
Lebanon,Children married by 18,6
Lebanon,Birth registration total,100
Lebanon,Justify wife beating female,10 
Lebanon,Violent discipline total,82
Lebanon,Violent discipline male,82
Lebanon,Violent discipline female,82
Lesotho,Child_labour_total,23 
Lesotho,Child_labour_male,25 
Lesotho,Child_labour_female,21 
Lesotho,Children married by 15,2
Lesotho,Children married by 18,19
Lesotho,Birth registration total,45
Lesotho,Justify wife beating male,48
Lesotho,Justify wife beating female,37
Liberia,Child_labour_total,21
Liberia,Child_labour_male,21
Liberia,Child_labour_female,21
Liberia,Children married by 15,11
Liberia,Children married by 18,38
Liberia,Birth registration total,4 
Liberia,FGM prevelance in women,66
Liberia,FGM prevelance in support groups,45
Liberia,Justify wife beating male,30
Liberia,Justify wife beating female,59
Liberia,Violent discipline total,94
Liberia,Violent discipline male,94
Liberia,Violent discipline female,94
Liechtenstein,Birth registration total,100 
Lithuania,Birth registration total,100 
Luxembourg,Birth registration total,100 
Madagascar,Child_labour_total,28 
Madagascar,Child_labour_male,29 
Madagascar,Child_labour_female,27 
